Year,Exam_Date,Name,Category,Sex,State,Maths_Marks,Physics_Marks,Chemistry_Marks,Total_Marks,Rank,Percentile
2013,2013-04-21,Tristan Bhandari,General,F,Uttar Pradesh,75,83,48,206,78,51.57232704402516
2013,2013-04-18,Rehaan Rajagopalan,General,M,Rajasthan,71,85,62,218,66,59.11949685534591
2013,2013-04-19,Yatin Natarajan,General,F,Rajasthan,67,94,73,234,50,69.18238993710692
2013,2013-04-21,Peter Bhalla,Reserved,F,Uttar Pradesh,52,71,66,189,85,39.13043478260869
2013,2013-04-17,Jairaj Mannan,General,M,Gujarat,40,65,65,170,114,28.9308176100629
2013,2013-04-19,Aradhana Bumb,General,F,Tamil Nadu,99,75,50,224,60,62.8930817610063
2013,2013-04-19,Jasmit Shenoy,General,F,Maharashtra,95,96,31,222,62,61.63522012578616
2013,2013-04-21,Nidra Bali,General,M,Madhya Pradesh,74,92,60,226,58,64.15094339622642
2013,2013-04-16,Yahvi Rattan,Reserved,M,West Bengal,87,48,59,194,80,42.7536231884058
2013,2013-04-17,Geetika Char,Reserved,M,Rajasthan,69,70,73,212,62,55.79710144927537
2013,2013-04-21,Nidra Raja,General,F,Karnataka,93,70,41,204,80,50.314465408805034
2013,2013-04-17,Timothy Natarajan,Reserved,M,Uttar Pradesh,75,42,80,197,77,44.927536231884055
2013,2013-04-17,Vanya Divan,Reserved,M,Madhya Pradesh,96,60,78,234,40,71.73913043478262
2013,2013-04-19,Baghyawati Madan,Reserved,M,Bihar,94,70,53,217,57,59.42028985507246
2013,2013-04-18,Aryan Jain,Reserved,M,Uttar Pradesh,64,82,53,199,75,46.37681159420289
2013,2013-04-17,Viraj Saran,General,F,Bihar,55,62,89,206,78,51.57232704402516
2013,2013-04-20,Advika Dora,General,F,Tamil Nadu,97,96,40,233,51,68.55345911949686
2013,2013-04-19,Yutika Wadhwa,General,M,Rajasthan,58,85,42,185,99,38.36477987421384
2013,2013-04-16,Niharika Sheth,Reserved,F,Karnataka,40,76,93,209,65,53.623188405797094
2013,2013-04-18,Isaac Ram,General,M,West Bengal,44,63,49,156,128,20.125786163522008
2013,2013-04-20,Jai Saini,Reserved,M,Bihar,90,44,100,234,40,71.73913043478262
2013,2013-04-20,Wazir Subramaniam,Reserved,F,Madhya Pradesh,61,73,57,191,83,40.57971014492754
2013,2013-04-16,Dipta Wali,General,F,Gujarat,63,35,31,129,154,3.7735849056603765
2013,2013-04-18,Bakhshi Chatterjee,Reserved,M,Tamil Nadu,82,73,72,227,47,66.66666666666667
2013,2013-04-19,George Wali,General,M,Gujarat,84,55,37,176,108,32.704402515723274
2013,2013-04-15,Tanveer Dalal,General,F,Tamil Nadu,91,99,42,232,52,67.9245283018868
2013,2013-04-18,Samarth Bala,Reserved,M,Maharashtra,76,49,64,189,85,39.13043478260869
2013,2013-04-16,Ansh Dasgupta,General,F,Madhya Pradesh,92,38,52,182,102,36.47798742138365
2013,2013-04-20,Bhavika Dugal,Reserved,M,Gujarat,75,94,75,244,31,78.26086956521739
2013,2013-04-19,Onveer Chokshi,Reserved,M,Karnataka,75,95,44,214,60,57.2463768115942
2013,2013-04-18,Yamini Dada,General,F,Rajasthan,43,54,31,128,155,3.1446540880503138
2013,2013-04-15,Sathvik Shere,General,F,Uttar Pradesh,75,44,90,209,75,53.459119496855344
2013,2013-04-15,Krishna Subramaniam,General,F,West Bengal,91,68,93,252,32,80.50314465408806
2013,2013-04-17,Mitesh Prabhakar,General,F,Rajasthan,92,82,81,255,29,82.38993710691824
2013,2013-04-17,Aarna Dugal,Reserved,F,Rajasthan,57,67,65,189,85,39.13043478260869
2013,2013-04-21,Anjali Hans,General,F,Tamil Nadu,89,95,96,280,8,95.59748427672956
2013,2013-04-16,Ryan Thakur,General,F,Karnataka,55,44,98,197,87,45.911949685534594
2013,2013-04-18,Darsh Dara,General,M,Tamil Nadu,80,88,96,264,21,87.42138364779875
2013,2013-04-18,Fariq Raj,General,M,Andhra Pradesh,57,99,76,232,52,67.9245283018868
2013,2013-04-21,Gavin Yogi,Reserved,M,Bihar,61,35,31,127,137,1.449275362318836
2013,2013-04-20,Thomas Parmar,General,F,West Bengal,41,39,73,153,131,18.23899371069182
2013,2013-04-20,Priya Kar,Reserved,F,Bihar,60,49,93,202,72,48.550724637681164
2013,2013-04-21,Bhanumati Borra,General,F,Uttar Pradesh,75,62,57,194,90,44.0251572327044
2013,2013-04-20,Nandini Kari,Reserved,M,Andhra Pradesh,83,57,83,223,51,63.76811594202898
2013,2013-04-17,Libni Bava,General,F,Madhya Pradesh,78,51,96,225,59,63.52201257861636
2013,2013-04-18,Warinder Bobal,General,F,Uttar Pradesh,86,47,65,198,86,46.540880503144656
2013,2013-04-21,Kalpit Sani,Reserved,M,Uttar Pradesh,78,48,92,218,56,60.14492753623188
2013,2013-04-18,Aditya Sankaran,General,F,Maharashtra,68,45,54,167,117,27.04402515723271
2013,2013-04-15,Saanvi Deshmukh,Reserved,M,West Bengal,93,62,77,232,42,70.28985507246377
2013,2013-04-17,Panini Yadav,General,M,Tamil Nadu,65,76,68,209,75,53.459119496855344
2013,2013-04-19,Hardik Dave,General,F,Karnataka,60,95,76,231,53,67.29559748427674
2013,2013-04-17,Nidra Biswas,General,F,Bihar,56,98,50,204,80,50.314465408805034
2013,2013-04-21,Varenya Kala,Reserved,F,Uttar Pradesh,55,65,59,179,95,31.88405797101449
2013,2013-04-19,Laksh Sandhu,General,M,Bihar,99,44,60,203,81,49.685534591194966
2013,2013-04-15,Aradhana Tripathi,General,M,Bihar,70,42,55,167,117,27.04402515723271
2013,2013-04-21,Jeet Murthy,General,M,Madhya Pradesh,90,55,51,196,88,45.28301886792453
2013,2013-04-16,Wazir Bail,General,F,West Bengal,48,93,50,191,93,42.138364779874216
2013,2013-04-18,Dipta Shenoy,General,F,West Bengal,70,84,30,184,100,37.735849056603776
2013,2013-04-15,Jalsa Dyal,Reserved,F,Gujarat,53,64,66,183,91,34.78260869565217
2013,2013-04-18,Maanas Vig,Reserved,F,Rajasthan,88,51,75,214,60,57.2463768115942
2013,2013-04-20,Triveni Mangal,Reserved,M,West Bengal,76,54,38,168,106,23.913043478260864
2013,2013-04-16,Ati Nagar,Reserved,M,Bihar,41,82,46,169,105,24.63768115942029
2013,2013-04-16,Rehaan Cherian,General,M,Tamil Nadu,91,36,76,203,81,49.685534591194966
2013,2013-04-15,Bimala Setty,Reserved,M,Bihar,87,71,88,246,29,79.71014492753623
2013,2013-04-16,Vedika Rout,General,F,Tamil Nadu,85,35,83,203,81,49.685534591194966
2013,2013-04-19,Arya Wali,General,F,Gujarat,53,38,41,132,152,5.031446540880502
2013,2013-04-16,Samaksh Bhakta,General,F,Tamil Nadu,98,88,93,279,9,94.9685534591195
2013,2013-04-18,Brijesh Gopal,General,M,West Bengal,72,59,35,166,118,26.415094339622648
2013,2013-04-18,Tamanna Chahal,Reserved,M,Madhya Pradesh,74,37,82,193,81,42.028985507246375
2013,2013-04-21,Gaurang Swaminathan,General,F,Tamil Nadu,97,43,45,185,99,38.36477987421384
2013,2013-04-18,Kabir Ray,General,F,Bihar,78,68,34,180,104,35.22012578616353
2013,2013-04-21,Kai Agarwal,General,M,Karnataka,97,77,75,249,35,78.61635220125787
2013,2013-04-18,Indira Madan,Reserved,F,West Bengal,86,56,43,185,89,36.23188405797102
2013,2013-04-19,Xalak Chahal,General,M,Karnataka,90,36,73,199,85,47.16981132075472
2013,2013-04-21,Gayathri Batra,General,M,Andhra Pradesh,59,100,92,251,33,79.87421383647799
2013,2013-04-17,Jagvi Sekhon,General,M,Andhra Pradesh,41,66,81,188,96,40.25157232704403
2013,2013-04-20,Keya Dyal,Reserved,F,Bihar,90,50,55,195,79,43.47826086956522
2013,2013-04-15,Gavin Dube,General,F,Andhra Pradesh,80,35,82,197,87,45.911949685534594
2013,2013-04-18,Ekantika Brahmbhatt,General,M,Rajasthan,58,82,58,198,86,46.540880503144656
2013,2013-04-16,Gautam Tak,General,F,Gujarat,98,84,48,230,54,66.66666666666667
